name,Mean,MCSE,StdDev,5%,50%,95%,N_Eff,N_Eff/s,R_hat
"mu[512]",5.9,0.015,0.94,4.3,5.9,7.5,4134,1917,1.00
"mu[513]",-2.8,0.016,1.0,-4.5,-2.8,-1.1,4139,1920,1.0
"mu[514]",1.6,0.014,0.90,0.13,1.6,3.1,4191,1944,1.0
"mu[515]",-4.4,0.017,1.1,-6.2,-4.4,-2.5,4112,1907,1.0
"mu[516]",10,0.018,1.2,8.6,10,12,4000,1855,1.00
"mu[517]",-1.8,0.015,0.99,-3.4,-1.8,-0.21,4165,1932,1.0
"mu[518]",6.1,0.015,0.95,4.6,6.1,7.7,4127,1914,1.00
"mu[519]",-6.5,0.020,1.2,-8.5,-6.5,-4.4,4059,1883,1.00
"mu[520]",33,0.049,3.0,28,33,38,3805,1765,1.00
"mu[521]",16,0.024,1.5,13,16,18,3901,1809,1.00
"mu[522]",-12,0.027,1.7,-15,-12,-9.7,3956,1835,1.00
"mu[523]",7.2,0.015,0.99,5.6,7.2,8.8,4105,1904,1.00
"mu[524]",8.1,0.016,1.0,6.4,8.1,9.8,4074,1889,1.00
"mu[525]",3.5,0.014,0.89,2.0,3.5,4.9,4176,1937,1.0
"mu[526]",0.29,0.014,0.92,-1.2,0.29,1.8,4189,1943,1.0
"mu[527]",11,0.018,1.2,8.6,11,12,3998,1854,1.00
"mu[528]",1.5,0.014,0.90,0.092,1.5,3.0,4191,1944,1.0
"mu[529]",3.2,0.014,0.89,1.8,3.2,4.7,4180,1939,1.0
"mu[530]",8.5,0.016,1.0,6.8,8.5,10,4059,1883,1.00
"mu[531]",8.8,0.017,1.1,7.1,8.8,11,4049,1878,1.00
"mu[532]",5.5,0.014,0.93,4.0,5.5,7.1,4142,1921,1.00
"mu[533]",-2.2,0.016,1.0,-3.8,-2.2,-0.54,4159,1929,1.0
"mu[534]",1.2,0.014,0.90,-0.29,1.2,2.7,4192,1944,1.0
"mu[535]",-0.51,0.015,0.94,-2.1,-0.51,1.0,4184,1941,1.0
"mu[536]",1.6,0.014,0.90,0.11,1.6,3.0,4191,1944,1.0
"mu[537]",-2.7,0.016,1.0,-4.3,-2.7,-0.97,4150,1925,1.0
"mu[538]",-1.3,0.015,0.97,-2.9,-1.4,0.24,4174,1936,1.0
"mu[539]",-9.9,0.024,1.5,-12,-9.9,-7.4,3992,1851,1.00
"mu[540]",-13,0.028,1.8,-16,-13,-10,3944,1829,1.00
"mu[541]",0.080,0.014,0.92,-1.4,0.087,1.6,4188,1943,1.0
"mu[542]",11,0.019,1.2,8.8,11,13,3992,1852,1.00
"mu[543]",8.3,0.016,1.0,6.6,8.3,10,4066,1886,1.00
"mu[544]",22,0.033,2.0,18,22,25,3849,1785,1.00
"mu[545]",12,0.020,1.2,9.8,12,14,3965,1839,1.00
"mu[546]",21,0.032,2.0,18,21,25,3852,1787,1.00
"mu[547]",15,0.024,1.5,13,15,18,3906,1812,1.00
"mu[548]",-12,0.027,1.7,-15,-12,-9.4,3959,1836,1.00
"mu[549]",3.2,0.014,0.89,1.7,3.2,4.6,4180,1939,1.0
"mu[550]",2.5,0.014,0.89,1.0,2.5,3.9,4187,1942,1.0
"mu[551]",5.2,0.014,0.92,3.7,5.2,6.7,4148,1924,1.00
"mu[552]",-12,0.026,1.7,-15,-12,-9.2,3962,1838,1.00
"mu[553]",-1.6,0.015,0.98,-3.1,-1.6,0.043,4170,1934,1.0
"mu[554]",-2.9,0.016,1.0,-4.6,-2.9,-1.2,4130,1915,1.0
